SPECIES_CODE,COMMON_NAME,REGION,REASON,PRIORITY,RESIDENT,LAND,WEEKLY_STATUS,SEASONAL_STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_CORE_START,NONBREEDING_CORE_END,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_CORE_START,BREEDING_CORE_END,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_CORE_START,RESIDENT_CORE_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,all_seasons_pass,NONBREEDING_RANGE_MODELED,PREBREEDING_MIGRATION_RANGE_MODELED,BREEDING_RANGE_MODELED,POSTBREEDING_MIGRATION_RANGE_MODELED,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,RAN_AS_RESIDENT,CUSTOM_ES,CUSTOM_PAT,notes
creoro1,Crested Oropendola,,North America,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"A little too much w. slope Ecuador, otherwise good"
cretit2,Crested Tit,Europe,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Good last year, even better this year, cleaning up Italian boundary. However, Russian distribution still doesn't go far enough east, so leaving as a 2."
cretre1,Crested Treeswift,,India 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Almost perfect, but missing some of Vietnam"
crfbar1,Malabar Barbet,,India 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Looks really good.
crfpar,Crimson-fronted Parakeet,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Mixed bag. Might be in e. Honduras, but not sure. Not on Nicoya, not that far e. in Panama on Caribbean slope."
crithr,Crissal Thrasher,North America,Nat Geo West,2,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,,,,,,,,,,,,,,01-04,03-01,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,would like to see this get further south inland (close to MX City) and along coast of Gulf (close to Los Mochis)
croslf1,Crowned Slaty Flycatcher,,Southern Cone 3,7,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crowoo1,Crowned Woodnymph,,North America,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,0.14,Looks good
crpowl,Costa Rican Pygmy-Owl,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Excellent
crseag1,Crested Serpent-Eagle,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Does very well in most of the range, but underextrapolated in parts of SE Asia and the northern edge of the range in China."
cssvir1,Chestnut-sided Shrike-Vireo,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Maybe a bit generous on the whole, but pretty good"
cthhue1,Chestnut-throated Huet-huet,South America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,
cubbla,Cuban Blackbird,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Missing some smaller islands, which seems reasonable considering data densities."
cubeme1,Cuban Emerald,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Looking good
cubpew1,Cuban Pewee,,North America 3,7,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Missing a couple smaller islands
cubthr,Curve-billed Thrasher,North America,Nat Geo East,1,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,ALL3s,0,,,,,,,,,,,,,,01-11,03-22,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Not on Baja, no available weeks for refinement. Dropping to 2."
cursan,Curlew Sandpiper,,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,11-09,,,03-08,03-15,06-14,06-21,,,06-28,07-06,11-02,,,,,3,2,0,2,,TRUE,FALSE,FALSE,TRUE,2,,,,,,"Wow, not sure how these disappeared into northern Russia so thoroughly. Pretty nice otherwise."
dabcin1,Dark-bellied Cinclodes,,Southern Cone,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daejun,Dark-eyed Junco,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-21,12-28,02-08,02-08,02-15,05-17,05-31,06-07,07-27,08-31,09-07,12-14,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
dafbab1,Dark-fronted Babbler,India,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,MTA,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Likely missing a few birds further up the Ghats toward Pune, but forgivable."
dafgrt1,Dark-faced Ground-Tyrant,,Southern Cone 2,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalpel1,Dalmatian Pelican,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,01-18,,,03-15,03-22,05-17,05-24,,,06-07,09-14,01-11,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,Not good. Bad extrapolation in every season. Not salvageable.
darpew1,Dark Pewee,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Excellent
darter2,Oriental Darter,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"India does quite well, missing Pakistan portion of range, SE Asia with weird underextrapolations or blotchiness"
darwar1,Dartford Warbler,Europe,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"I think this has done a much better job of France and Italy this year, but still noisy there, so leaving as 2."
daured1,Daurian Redstart,Asia,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,11-23,11-23,12-28,03-08,03-15,05-10,05-17,06-07,06-28,07-20,07-27,11-16,,,,,2,2,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Considering how sparse the records are in Russia, it gets the northern boundary pretty well. Downgrading post-breeding migraiton"
dbwqua1,Dark-backed Wood-Quail,South America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,,Extrapolates incorrectly to east slope
dickci,Dickcissel,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-28,12-28,01-18,03-15,03-22,06-07,06-14,06-21,07-27,08-03,08-10,12-21,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Animation a lot better this year
dobgra1,Double-banded Graytail,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"A bit noisy in Panama and Colombia, but forgiveable"
dobplo1,Double-banded Plover,Australasia,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,04-12,05-31,07-06,07-20,07-27,09-28,10-05,10-19,11-30,12-28,01-04,04-05,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
doccor,Double-crested Cormorant,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-14,01-04,02-01,02-08,02-15,05-24,05-31,05-31,06-28,07-13,07-20,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,A little generous on the northern borders in Alberta/Sask and Labrador
docsee1,Double-collared Seedeater,,Southern Cone,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolgul2,Dolphin Gull,,Southern Cone 2,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dollar1,Dollarbird,,Request,4,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,1,11-09,,,03-08,03-15,06-07,06-14,,,07-13,09-28,11-02,,,,,2,0,2,1,,TRUE,TRUE,TRUE,TRUE,1,,,,,,Missing a number of Indonesian islands. Migration in India and other places overpredicted.
dotkit1,Double-toothed Kite,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.14,Not well reflecting sparse birds in e. Brazil
doveki,Dovekie,,Nat Geo East,1,FALSE,WATER,LOOKS GOOD,LOOKS GOOD,MTA,,0,09-28,,,03-15,,,05-17,,,07-27,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,
dowant1,Dot-winged Antwren,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,,Too messy in Amazon
dowwoo,Downy Woodpecker,North America,Nat Geo East,1,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,0,,,,,,,,,,,,,,02-22,04-12,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"A little rough in northern BC and Yukon, but allowable."
dstkne,Double-striped Thick-knee,,North America 3,7,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Imperfect on eastern edge
dubjac1,Dusky-backed Jacamar,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Reasonable for a species in this part of the world
ducfly,Dusky-capped Flycatcher,South America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,2,11-02,11-02,03-08,03-08,03-15,04-26,05-03,05-03,07-13,07-13,07-20,10-26,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Animation still flashy in Amazon and Mexico.
duftan1,Dusky-faced Tanager,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Sprinkle of extrapolation too far east in Ecuador and Colombia.
dumant1,Dull-mantled Antbird,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Overfit in Costa Rica
dunlin,Dunlin,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,3,12-14,12-28,02-08,02-15,02-22,06-07,06-14,06-28,07-06,07-06,07-13,12-07,,,,,3,2,3,2,TRUE,TRUE,FALSE,TRUE,FALSE,3,,,,,,"Missing Russia for migrations, but the non-breeding is really good, I think we've captured the full range well."
dunnoc1,Dunnock,Europe,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,12-07,12-14,02-01,02-15,02-22,04-19,04-26,05-03,06-21,09-07,09-14,11-30,,,,,2,2,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,2,,,,,,"Not quite far enough east in Russia, otherwise great."
duplar1,Dupont's Lark,,Europe,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,0.75,,Currently a little challenging...I think over in both parts
dusant1,Dusky Antbird,,North America,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,0.95,,Noisy in the Amazon
duscrm1,Dusky Crag-Martin,,India,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Areas north of Delhi very underextrapolated, also northern edge of their eastern range in SE Asia."
dusfly,Dusky Flycatcher,North America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,3,11-09,11-09,03-08,03-08,03-22,06-14,06-21,06-21,07-20,07-20,07-27,11-02,,,,,0,3,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Baja...
dusful1,Dusky Fulvetta,,Taiwan,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Taiwan is good, China more mediocre."
dusgro,Dusky Grouse,North America,Nat Geo West,2,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,0,,,,,,,,,,,,,,04-05,09-28,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,
dusnig1,Dusky Nightjar,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.14,"Maybe a little sparse in a few places still, otherwise quite good."
dusthr1,Naumann's Thrush,,Taiwan,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusthr2,Dusky Thrush,,Taiwan,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duswar,Dusky Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,2,12-07,,,03-08,03-15,06-14,06-21,,,07-13,08-10,11-30,,,,,2,2,2,2,,TRUE,TRUE,TRUE,FALSE,2,,,,,,"A little tough to evaluate. Non-breeding is good, prob not on Tibetan plateau. Other seasons may be too far north in Russia, but hard ot know. Maybe some western edge bleed too."
eabwar1,Eastern Bonelli's Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,No correct weeks.
eacsun1,Crimson Sunbird,,India 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Does pretty well in the Himalayas, but some weirdness in West Bengal/Odisha, and very under extrapolated in Sumatra/Java."
eaowar1,Eastern Olivaceous Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,,,,,,Terrible extrapolation all over the place
eaowar2,Eastern Orphean Warbler,,Europe,6,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,11-02,,,11-23,,,,,,,,,,,,,1,0,0,0,,FALSE,FALSE,FALSE,FALSE,1,,,,,,Bad extrap much of the year. A handful of weeks salvage some nonbreeding. Missing Africa.
eardov1,Eared Dove,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,I can't see anything to complain about.
eargre,Eared Grebe,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,12-28,01-04,02-22,03-01,03-08,05-24,05-31,06-07,07-13,08-03,08-10,12-21,,,,,2,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,TRUE,,,,"Wow...again, great filling in for Central Asia. I think this is also close to a 3."
easblu,Eastern Bluebird,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,11-30,11-30,02-22,02-22,03-01,05-10,05-17,05-31,07-13,08-24,09-07,11-23,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
easkin,Eastern Kingbird,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,11-23,01-11,02-22,03-01,03-08,05-31,06-07,06-07,07-13,07-20,07-27,11-16,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,Nonbreeding pretty stable
easmah1,Eastern Marsh-Harrier,,Taiwan,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easmea,Eastern Meadowlark,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,11-23,12-21,01-25,02-08,02-15,04-26,05-03,05-17,07-06,07-20,07-27,11-16,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
easowl1,Eastern Screech-Owl,North America,Nat Geo East,1,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,ALL3s,0,,,,,,,,,,,,,,03-15,05-03,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,0.05,Pulling this back to a 2 for being a little too tightly fit.
easpho,Eastern Phoebe,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-28,12-14,02-01,02-15,02-22,05-10,05-17,05-31,07-06,08-03,08-31,12-21,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
easros1,Eastern Rosella,,New Zealand,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,1,1,1,1,,TRUE,TRUE,TRUE,TRUE,1,,,,,0.14,Tasmanian birds are too sparse
eastow,Eastern Towhee,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,3,12-07,12-14,01-25,03-01,03-08,05-31,06-07,06-07,07-06,09-14,09-21,11-30,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
easwar1,Eastern Subalpine Warbler,,Europe,6,FALSE,LAND,UNREVIEWED,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easwpw1,Eastern Whip-poor-will,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,10-19,,,02-15,02-22,05-31,06-07,06-07,07-27,07-27,08-10,10-12,,,,,0,3,3,0,FALSE,FALSE,TRUE,TRUE,FALSE,2,,,,,,Downrating a couple scores here for seasonal incompleteness.
eawpew,Eastern Wood-Pewee,North America,Nat Geo East,1,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-14,12-14,02-15,02-15,02-22,06-07,06-14,06-14,07-13,08-03,08-10,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,tweaked nonbreeding dates to better eliminate some signal in MX and northern Central America 
eaywag,Eastern Yellow Wagtail,Asia,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,11-09,11-09,03-22,03-29,04-05,06-14,06-21,06-21,07-13,07-20,07-27,11-02,,,,,2,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,Looking great across Russia this time.
eaywag1,Western Yellow Wagtail,Europe,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,12-07,12-14,01-25,01-25,02-01,05-31,06-07,06-14,07-13,07-27,08-03,11-30,,,,,2,2,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,2,,,,,,Russia still not complete during breeding and Africa likely overextrapolated during nonbreeding.
ecgdov1,Ecuadorian Ground Dove,South America,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,MTA,0,,,,,,,,,,,,,08-03,,,01-11,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Looks great as a resident, dates to clean up a little extrapolation towards Chiclayo."
egygoo,Egyptian Goose,Africa,Nat Geo East,1,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,ALL3s,0,,,,,,,,,,,,,,01-04,12-28,,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,2,,,,,,"Missing the western Africa part of the range, but the east and south African distributions look good and covers invasive areas well."
egyvul1,Egyptian Vulture,Europe,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,IJD,0,11-02,11-02,01-11,01-18,01-25,04-12,04-19,04-26,08-17,08-31,09-07,10-26,,,,,1,2,3,2,TRUE,FALSE,TRUE,TRUE,TRUE,2,,,,,,"Doesn't pick up really any of the non e. African populations; some spottiness in Ethiopia, but none of the other sub-Saharan population. Seems to do well in Europe and across Middle East to India."
eleeup1,Elegant Euphonia,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Quite good.
elefal1,Eleonora's Falcon,Europe,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,IJD,0,11-09,11-09,04-05,04-05,04-12,05-24,05-31,05-31,06-14,06-14,07-06,11-02,,,,,0,1,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,1,,,,,,"Doesn't get E African wintering grounds, and only picks up Mediterranean portion of migration (which is what would be expected given data availability). Breeding range seems not too bad."
elepai,Hawaii Elepaio,,North America 2,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,0.14,Too restrictive
eleter1,Elegant Tern,North America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,LDS,3,12-14,12-21,02-08,02-08,02-15,04-26,05-03,05-03,06-14,06-14,06-21,12-07,,,,,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,,
eletro,Elegant Trogon,Central America,Nat Geo West,2,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,ALL3s,0,,,,,,,,,,,,,,03-22,05-24,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,
elfowl,Elf Owl,Central America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,LDS,0,11-09,,,02-08,02-15,03-01,04-26,04-26,05-17,05-17,09-14,09-28,,,,,0,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,0,,,,,,"Need to see seasonal map, nonbreeding will probably fail. Brief flashes of acceptable dates for other seasons. Not quite good enough in the end."
elwwar1,Elfin-woods Warbler,Caribbean,Existing,3,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,,,,,,,,,,,,,,,,,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,0,,,,,,Too much extrapolation to the center of the island.
emchum1,Emerald-chinned Hummingbird,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,Probably not in e. Oaxaca
emedov2,Asian Emerald Dove,,Taiwan,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,PS,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Very good India/mainland SE Asia, but missing some Indonesian islands."
emetan1,Emerald Tanager,,Central America,5,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,ALL3s,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,Excellent
empgoo,Emperor Goose,North America,Nat Geo West,2,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,0,10-26,11-30,03-15,04-19,04-26,05-31,06-14,06-14,06-14,06-14,09-07,10-19,,,,,2,2,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,2,,,,,,"Russia gets pretty messy, but I think I've sliced enough out to keep it reasonable."
epaori4,Variable Oriole,,Southern Cone,6,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,3,3,3,3,,TRUE,TRUE,TRUE,TRUE,3,,,,,,"Tiny bit of noise on n. edge in Brazil, otherwise excellent"
ercfra,Erckel's Francolin,,North America 3,7,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,2,2,2,2,,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Missing Sudan and Eriteria, but surprisingly not bad."
ettwoo1,Eurasian Three-toed Woodpecker,,Request,4,TRUE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,,0,,,,,,,,,,,,,,,,,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,1,,,,,,Missing a ton of range in Russia and a little overextrapolated in parts of Europe.
eubeat1,European Bee-eater,Europe,Existing,3,FALSE,LAND,LOOKS GOOD,LOOKS GOOD,MTA,MTA,2,11-30,,,02-22,03-01,05-31,06-07,06-07,07-20,07-27,08-03,11-23,,,,,1,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2,,,,,,"Very similar to last year, a little better in Africa."
